Louse	Hippoboscid	Bird host common name	Bird host scientific name	Bird host	Locality	Specific locality (State/Town)	Reference	Secondary Reference	ReferenceId
NIL (?Brueelia sp.)	Ornithomya anchineuria*	American robin 	Turdus migratorius	American robin (Turdus migratorius)	USA	Massachusetts, Raynham	Main & Anderson (1970)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L359
Brueelia sp.	Ornithomya anchineuria*	American robin 	Turdus migratorius	American robin (Turdus migratorius)	USA	Massachusetts, Raynham	Main & Anderson (1970)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L359
Brueelia sp.	Ornithomya anchineuria*	Northern flicker 	Colaptes auratus	Northern flicker (Colaptes auratus)	USA	Massachusetts, Easton	Main & Anderson (1970)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L359
NIL (?Brueelia sp.)	Ornithomya anchineuria*	American robin 	Turdus migratorius	American robin (Turdus migratorius)	USA	Massachusetts, Raynham	Main & Anderson (1970)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L359
Brueelia sp.	Ornithomya anchineuria*	American robin 	Turdus migratorius	American robin (Turdus migratorius)	USA	Massachusetts, Manomet	Main & Anderson (1970)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L359
NIL (?Brueelia sp.)	Ornithomya anchineuria*	American robin 	Turdus migratorius	American robin (Turdus migratorius)	USA	Massachusetts, Raynham	Main & Anderson (1970)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L359
Brueelia sp.	Ornithomya anchineuria*	House wren 	Troglodytes aedon	House wren (Troglodytes aedon)	USA	Massachusetts, Manomet	Main & Anderson (1970)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L359
Brueelia sp.	Ornithomya anchineuria*	Northern flicker 	Colaptes auratus	Northern flicker (Colaptes auratus)	USA	Massachusetts, Easton	Main & Anderson (1970)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L359
NIL (?Brueelia sp.)	Ornithomya anchineuria*	American robin 	Turdus migratorius	American robin (Turdus migratorius)	USA	Massachusetts, Raynham	Main & Anderson (1970)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L359
NIL (?Brueelia sp.)	Ornithomya anchineuria*	American robin 	Turdus migratorius	American robin (Turdus migratorius)	USA	Massachusetts, Raynham	Main & Anderson (1970)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L359
Brueelia sp.	Ornithomya anchineuria*	NIL	NIL	NIL	USA	Massachusetts, Manomet	Main & Anderson (1970)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L359
Brueelia sp.	Ornithomya anchineuria*	Wood thrush 	Hylocichla mustelina	Wood thrush (Hylocichla mustelina)	USA	Massachusetts, Manomet	Main & Anderson (1970)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L359
Olivinirmus clayae	Ornithoica vicina	Blue jay 	Cyanocitta cristata	Blue jay (Cyanocitta cristata)	USA	Taunton	Main & Anderson (1970)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L359
Olivinirmus clayae	Ornithoica vicina	Blue jay 	Cyanocitta cristata	Blue jay (Cyanocitta cristata)	USA	Manomet	Main & Anderson (1970)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L359
Brueelia sp.	Ornithoica vicina	Common grackle 	Quiscalus quiscula	Common grackle (Quiscalus quiscula)	USA	Middleborough	Main & Anderson (1970)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L359
Olivinirmus clayae	Ornithoica vicina	Blue jay 	Cyanocitta cristata	Blue jay (Cyanocitta cristata)	USA	Manomet	Main & Anderson (1971)	Bartlow et al. (2016)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L361
Sturnidoecus sturni	Ornithomya chloropus	European starling 	Sturnus vulgaris	European starling (Sturnus vulgaris)	Russia	Olf Peterhof	Markov (1938)	Dubinin (1947)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L363
Columbicola columbae	Pseudolynchia canariensis	Rock pigeon 	Columba livia	Rock pigeon (Columba livia)	USA	Texas	Martin (1934)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L365
Corvonirmus rotundatus	Ornithomya fringillina*	NIL	NIL	NIL	Canada	Lake Athabasca, Saskatchewan	McAtee (1922)	Clay & Meinertzhagen (1943)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L303
Corvonirmus rotundatus	Ornithomya fringillina*	American crow 	Corvus brachyrhynchus hesperis	American crow (Corvus brachyrhynchus hesperis)	USA	Ontario, Oregon	McAtee (1922)	Clay & Meinertzhagen (1943)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L303
Sturnidoecus sturni	Ornithomya avicularia	European starling 	Sturnus vulgaris	European starling (Sturnus vulgaris)	Sweden	NIL	Mjoberg (1910)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L369
Sturnidoecus sturni	Ornithomya avicularia	European starling 	Sturnus vulgaris	European starling (Sturnus vulgaris)	Sweden	NIL	Mjoberg (1910)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L369
Ardeicola botauri	Icosta americana	Western great egret 	Ardea alba egretta	Western great egret (Ardea alba egretta)	USA	Hartstown, Pennsylvania	Peters (1935)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L373
Lipeurus crassus	NIL	Australian brush-turkey 	Alectura lathami	Australian brush-turkey (Alectura lathami)	Australia	Queensland	Proctor & Jones (2004)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L375
NIL	Ornithomya fringillina*	European starling 	Sturnus vulgaris	European starling (Sturnus vulgaris)	UK	Shetland Isle	Rothschild & Clay (1952)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L379
Brueelia-complex sp.	Ornithomya roubaudi	NIL	NIL	NIL	French congo	Stanley Pool, edge of Congo river	Seguy (1938)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L381
NIL	Ornithomya avicularia	NIL	NIL	NIL	UK	Dartford Kent	Sharp (1890)	Clay & Meinertzhagen (1943)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L383
Brueelia deficiens	Ornithomya fringillina*	Steller's jay 	Cyanocitta stelleri	Steller's jay (Cyanocitta stelleri)	Canada	Tofino, Clayoquot sound, Vancouver Island, BC	Spencer (1928)	Clay & Meinertzhagen (1943)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L385
Guimaraesiella marginata	Ornithomya avicularia	NIL	NIL	NIL	UK	Surrey, Woking	Thompson (1933)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L391
Guimaraesiella marginata	Ornithomya avicularia	Song thrush 	Turdus philomelos	Song thrush (Turdus philomelos)	UK	Vicarage Garde, Hertfordshire	Thompson (1933)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L391
Sturnidoecus sturni	Ornithomya fringillina*	European starling 	Sturnus vulgaris	European starling (Sturnus vulgaris)	Scotland	Shetlands	Thompson (1934)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L393
Guimaraesiella marginata	Ornithomya avicularia	NIL	NIL	NIL	UK	Skirwith, Cumberland	Thompson (1934)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L393
Philopterus sp.	Lynchia sp.	Southern red bishop 	Euplectes orix sundevalli	Southern red bishop (Euplectes orix sundevalli)	Democratic Republic of Congo	Kamaniola	Thompson (1935)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L395
Guimaraesiella marginata	Ornithomya fringillina*	Fieldfare 	Turdus pilaris	Fieldfare (Turdus pilaris)	Sweden	Karlshamn	Thompson (1935)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L395
Brueelia-complex sp.	Ornithophila metallica	Flycatcher	NIL	Flycatcher	Australia	Dinner Creek, Queensland	Thompson (1936)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L397
Ardeicola botauri	Icosta ardae botaurinorum	NIL	NIL	NIL	Mexico	Orizaba	Thompson (1936)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L397
Brueelia marginata	Ornithomya fringillina*	Blackbird 	Turdus merula	Blackbird (Turdus merula)	UK	Scotland, Dumbarton	Thompson (1936)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L397
Sturnidoecus simplex	Ornithomya fringillina*	American robin 	Turdus migratorius	American robin (Turdus migratorius)	USA	Elmhurst, New York	Thompson (1936)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L397
Brueelia sp.	Ornithomya fringillina*	Song sparrow 	Melospiza melodia	Song sparrow (Melospiza melodia)	USA	Martha's Vineyard, Massachusetts	Thompson (1936)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L397
Brueelia sp.	Ornithomya fringillina*	Swainson's thrush 	Catharus ustulatus	Swainson's thrush (Catharus ustulatus)	USA	Spruce Brook, Newfoundland	Thompson (1937)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L399
Guimaraesiella interposita	Ornithomya fringillina*	Swainson's thrush 	Catharus ustulatus	Swainson's thrush (Catharus ustulatus)	Canada	Vancouver, BC	Thompson (1937)	Spencer (1938)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L399
Sturnidoecus sturni	Ornithomya avicularia	European starling 	Sturnus vulgaris	European starling (Sturnus vulgaris)	UK	Hartley, Longfield, Kent	Thompson (1947)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L401
Brueelia-complex sp.	Ornithomya avicularia	Song thrush 	Turdus philomelos	Song thrush (Turdus philomelos)	UK	Hertley, Longfield, Kent	Thompson (1947)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L401
Brueelia-complex sp.	Ornithomya avicularia	Song thrush 	Turdus philomelos	Song thrush (Turdus philomelos)	UK	Hertley, Longfield, Kent	Thompson (1947)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L401
Brueelia-complex sp.	Ornithomya avicularia	Blackbird 	Turdus merula	Blackbird (Turdus merula)	UK	Hertley, Longfield, Kent	Thompson (1947)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L401
Brueelia-complex sp.	Ornithomya fringillina*	Common whitethroat 	Sylvia communis	Common whitethroat (Sylvia communis)	UK	Hertley, Longfield, Kent	Thompson (1947)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L401
Brueelia-complex sp.	Ornithomya avicularia	Blackbird 	Turdus merula	Blackbird (Turdus merula)	UK	Hertley, Longfield, Kent	Thompson (1947)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L401
Brueelia-complex sp.	Ornithomya avicularia	European starling 	Sturnus vulgaris	European starling (Sturnus vulgaris)	UK	Hertley, Longfield, Kent	Thompson (1947)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L401
Brueelia-complex sp.	Ornithomya avicularia	Blackbird 	Turdus merula	Blackbird (Turdus merula)	UK	Hertley, Longfield, Kent	Thompson (1947)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L401
Brueelia-complex sp.	Ornithomya avicularia	Song thrush 	Turdus philomelos	Song thrush (Turdus philomelos)	UK	Turton, Wilmslow, Cheshire	Thompson (1947)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L401
Bruelia sp.	Ornithomya avicularia	Eurasian sparrowhawk 	Accipiter nisus	Eurasian sparrowhawk (Accipiter nisus)	UK	Llanbwchllyn, Radnorshire	Thompson (1947)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L401
Guimaraesiella amsel	Ornithomya avicularia	NIL	NIL	NIL	Germany	NIL	Walter (1989)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L407
Turdinirmus merulensis	Ornithomya avicularia	NIL	NIL	NIL	Germany	NIL	Walter (1989)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L407
Guimaraesiella turdinulae	Ornithomya avicularia	NIL	NIL	NIL	Germany	NIL	Walter (1989)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L407
Philopterus sp.	Ornithomya avicularia	Blackbird 	Turdus merula	Blackbird (Turdus merula)	Germany	Near Berlin	Wanach (1910)	Clay & Meinertzhagen (1943)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L409
Guimaraesiella marginata	Ornithomya avicularia	NIL	NIL	NIL	UK	Cambridge 	Warburton (1928)	Clay & Meinertzhagen (1943)	line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L411
Columbicola columbae	Pseudolynchia canariensis	Rock pigeon 	Columba livia	Rock pigeon (Columba livia)	USA	Zoology building, University of Chicago	Ward (1953)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L413
Guimaraesiella zeropunctata	Ornithomya fringillina*	Swainson's thrush 	Catharus ustulatus	Swainson's thrush (Catharus ustulatus)	USA	Wayne County, Centerville	Wilson (1964)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L415
NIL	Ornithoica momiyamai	Japanese thrush 	Turdus cardis	Japanese thrush (Turdus cardis)	Japan	Haigamine daitsuiyama, Hiroshima	Yamauchi (2010)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L417
Sturnidoecus sturni	Ornithomya fringillina*	Merlin 	Falco columbarius	Merlin (Falco columbarius)	UK	Fair Isle, Shetland	Corbet (1956)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L307
Sturnidoecus sturni	Ornithomya fringillina*	Wheatear 	Oenanthe oenanthe	Wheatear (Oenanthe oenanthe)	UK	Fair Isle, Shetland	Corbet (1956)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L307
NIL	Ornithomya fringillina*	Rock pipit 	Anthus spinoletta	Rock pipit (Anthus spinoletta)	UK	Fair Isle, Shetland	Corbet (1956)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L307
NIL	Ornithomya fringillina*	Meadow pipit 	Anthus pratensis	Meadow pipit (Anthus pratensis)	UK	Fair Isle, Shetland	Corbet (1956)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L307
NIL	Ornithomya fringillina*	Eurasian wren 	Troglodytes troglodytes	Eurasian wren (Troglodytes troglodytes)	UK	Fair Isle, Shetland	Corbet (1956)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L307
Columbicola columbae	Pseudolynchia canariensis	Rock pigeon 	Columba livia	Rock pigeon (Columba livia)	Egypt	Greater Cairo	Adly et al. (2020)		
Guimaraesiella amsel	Ornithoica turdi	Blackbird 	Turdus merula	Blackbird (Turdus merula)	Portugal	São Miguel island, Azores Archipelago	Oslejskova et al. (2020)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L371
Columbicola columbae	Pseudolynchia canariensis	Rock pigeon 	Columba livia	Rock pigeon (Columba livia)	Russia	Moscow	Matyukhin et al. (2016)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L367
Columbicola columbae	Pseudolynchia canariensis	Rock pigeon 	Columba livia	Rock pigeon (Columba livia)	Russia	Moscow	Matyukhin et al. (2016)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L367
Columbicola columbae	Pseudolynchia canariensis	Rock pigeon 	Columba livia	Rock pigeon (Columba livia)	Russia	Moscow	Matyukhin et al. (2016)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L367
Columbicola columbae	Pseudolynchia canariensis	Rock pigeon 	Columba livia	Rock pigeon (Columba livia)	Russia	Moscow	Matyukhin et al. (2016)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L367
Columbicola columbae	Pseudolynchia canariensis	Rock pigeon 	Columba livia	Rock pigeon (Columba livia)	Russia	Moscow	Matyukhin et al. (2016)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L367
Columbicola columbae	Pseudolynchia canariensis	Rock pigeon 	Columba livia	Rock pigeon (Columba livia)	Russia	Tula Region	Matyukhin et al. (2016)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L367
Columbicola columbae	Pseudolynchia canariensis	Rock pigeon 	Columba livia	Rock pigeon (Columba livia)	Russia	Rostov	Matyukhin et al. (2016)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L367
Ricinus rubeculae 	Ornithomya fringillina	European Robin 	Erithacus rubecula	European Robin (Erithacus rubecula)	Russia	Karelia	Matyukhin et al. (2016)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L367
NIL 	Ornithomya avicularia	Rook 	Corvus frugilegus	Rook (Corvus frugilegus)	Russia	Rostov	Matyukhin et al. (2016)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L367
NIL	Ornithomya avicularia	Common cuckoo 	Cuculus canorus	Common cuckoo (Cuculus canorus)	Russia	Kurshskaya Kosa	Matyukhin et al. (2016)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L367
NIL 	Ornithomya chloropus	Bluethroat 	Luscinia svecica	Bluethroat (Luscinia svecica)	Russia	Karelia	Matyukhin et al. (2016)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L367
NIL	Ornithoica turdi	Thrush Nightingale 	Luscinia luscinia	Thrush Nightingale (Luscinia luscinia)	Moldova	PMR-Moldova (ПМР- Молдова)	Matyukhin et al. (2016)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L367
Guimaraesiella amsel	Ornithomya fringillina*	Blackbird 	Turdus merula	Blackbird (Turdus merula)	Portugal	São Miguel Island / Terceira Island / Flores Island / Silves / Olhão	Tomás et al. (2021)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L403
Guimaraesiella amsel	Ornithomya fringillina*	Blackbird 	Turdus merula	Blackbird (Turdus merula)	Portugal	São Miguel Island / Terceira Island / Flores Island / Silves / Olhão	Tomás et al. (2021)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L403
Guimaraesiella amsel	Ornithomya fringillina*	Blackbird 	Turdus merula	Blackbird (Turdus merula)	Portugal	São Miguel Island / Terceira Island / Flores Island / Silves / Olhão	Tomás et al. (2021)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L403
Guimaraesiella amsel	Ornithomya fringillina*	Blackbird 	Turdus merula	Blackbird (Turdus merula)	Portugal	São Miguel Island / Terceira Island / Flores Island / Silves / Olhão	Tomás et al. (2021)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L403
Brueelia callaeincola	Ornithoica sp.	North Island saddleback 	Philesturnus rufusater	North Island saddleback (Philesturnus rufusater)	New Zealand	Tiritiri Matangi Island, Hauraki Gulf	Valim & Palma (2015)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L405
Sturnidoecus sp.	Icosta minor	Brown-crowned tchagra 	Tchagra australis	Brown-crowned tchagra (Tchagra australis)	South Africa	Polokwane Game Reserve, Limpopo Province	Sychra et al. (2020)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L389
Sturnidoecus sturni	Ornithomya chloropus	Merlin 	Falco columbarius	Merlin (Falco columbarius)	UK	Fair Isle, Shetland	Hill et al. (1967)		line:xlsx:hash://md5/e315af50025009fd3c2bf192ded23f5f!/Sheet1!/L335
